gpa,attendance_rate,failed_credits,assignment_completion_rate,risk_level
3.54,78.9,7,72.5,Low Risk
1.5,58.9,5,91.1,High Risk
2.75,85.4,2,57.8,Low Risk
2.11,67.3,1,86.3,Low Risk
1.62,96.8,9,47.2,High Risk
3.69,50.5,5,90.8,Low Risk
1.54,67.7,3,67.0,High Risk
1.74,84.1,1,92.5,Low Risk
2.02,74.2,11,54.9,High Risk
1.73,53.9,0,93.3,Medium Risk
3.33,73.5,12,69.4,Medium Risk
2.59,74.5,10,47.9,High Risk
1.38,97.4,5,68.9,Medium Risk
3.86,54.0,4,52.5,Low Risk
1.76,46.7,7,47.1,High Risk
3.75,62.7,11,67.9,Medium Risk
2.2,74.3,7,51.2,High Risk
3.97,90.0,10,68.1,Low Risk
1.46,95.6,9,60.5,High Risk
1.15,63.8,0,77.4,Medium Risk
3.25,88.6,10,52.7,Medium Risk
3.77,69.1,3,40.1,Low Risk
3.98,60.4,8,43.7,Medium Risk
2.37,52.1,5,77.9,Medium Risk
2.18,95.7,1,59.1,Low Risk
3.18,70.4,3,76.0,Low Risk
2.42,97.3,8,60.6,Medium Risk
1.53,82.3,12,42.4,High Risk
2.35,94.1,10,85.0,Medium Risk
3.98,74.2,9,58.1,Low Risk
3.84,65.1,8,84.3,Low Risk
2.21,75.9,1,70.5,Low Risk
3.72,68.1,9,78.8,Low Risk
2.03,67.4,6,47.5,High Risk
1.28,81.7,5,79.3,Medium Risk
2.99,46.1,11,51.9,High Risk
3.33,92.3,4,54.8,Low Risk
3.0,52.1,11,48.3,High Risk
1.85,82.1,3,94.6,Low Risk
1.61,74.8,7,97.2,Medium Risk
2.83,59.0,9,77.5,Medium Risk
1.96,98.7,6,81.1,Medium Risk
1.07,67.0,5,92.5,High Risk
2.83,69.4,2,91.2,Low Risk
1.97,75.0,12,69.4,High Risk
2.9,63.4,10,94.8,Medium Risk
3.77,91.4,3,98.7,Low Risk
3.23,87.1,3,68.8,Low Risk
2.37,58.2,9,78.7,High Risk
1.87,59.2,6,64.6,High Risk
1.66,89.9,7,91.6,Medium Risk
1.5,45.4,0,87.9,Medium Risk
3.52,52.6,4,86.5,Low Risk
1.35,66.5,5,51.6,High Risk
1.46,68.3,12,77.2,High Risk
3.8,98.9,8,48.3,Low Risk
3.37,59.9,0,93.1,Low Risk
2.99,51.2,9,50.6,High Risk
2.27,75.4,10,70.0,High Risk
3.06,80.9,0,100.0,Low Risk
2.55,50.2,12,83.7,High Risk
3.93,62.5,3,65.5,Low Risk
1.15,82.0,5,61.2,High Risk
3.36,90.8,11,65.0,Low Risk
1.96,86.2,10,88.1,Medium Risk
2.47,94.1,3,92.7,Low Risk
1.29,53.4,1,72.0,High Risk
1.2,47.9,2,66.2,High Risk
3.32,46.9,0,79.1,Low Risk
3.47,54.2,0,91.6,Low Risk
3.47,74.6,1,89.2,Low Risk
1.28,66.7,7,55.4,High Risk
3.26,72.7,9,85.0,Low Risk
2.39,65.2,5,52.5,Medium Risk
3.25,51.5,2,45.2,Low Risk
1.53,54.6,0,63.9,Medium Risk
3.97,52.5,10,79.2,Low Risk
2.35,66.6,2,98.5,Low Risk
3.62,55.6,11,53.2,Medium Risk
2.97,60.9,3,74.0,Low Risk
2.65,90.6,9,82.6,Medium Risk
1.08,47.7,12,69.2,High Risk
1.78,68.0,7,85.5,High Risk
3.48,75.9,2,56.2,Low Risk
2.57,62.3,5,73.8,Medium Risk
3.03,48.6,4,52.7,Medium Risk
3.68,80.5,0,50.3,Low Risk
3.67,70.8,10,96.1,Low Risk
1.18,56.8,6,75.1,High Risk
1.59,82.4,0,45.9,Medium Risk
1.62,68.3,2,50.6,High Risk
1.4,92.3,2,61.6,Medium Risk
1.17,64.7,4,55.9,High Risk
2.83,56.3,10,95.8,Medium Risk
1.3,50.9,11,46.9,High Risk
2.86,51.7,2,85.3,Low Risk
3.46,73.9,11,99.8,Low Risk
